,model,metrics,values
938,LogReg,test_f1_weighted,0.8080636758443912
939,LogReg,test_f1_weighted,0.8080636758443912
936,LogReg,test_f1_weighted,0.8080636758443912
950,LogReg,test_f1_weighted,0.8080636758443912
944,LogReg,test_f1_weighted,0.8080636758443912
953,LogReg,test_f1_weighted,0.8080636758443912
396,LogReg,test_accuracy,0.8081330868761553
759,LogReg,test_recall_weighted,0.8081330868761553
398,LogReg,test_accuracy,0.8081330868761553
399,LogReg,test_accuracy,0.8081330868761553
758,LogReg,test_recall_weighted,0.8081330868761553
756,LogReg,test_recall_weighted,0.8081330868761553
404,LogReg,test_accuracy,0.8081330868761553
770,LogReg,test_recall_weighted,0.8081330868761553
773,LogReg,test_recall_weighted,0.8081330868761553
764,LogReg,test_recall_weighted,0.8081330868761553
410,LogReg,test_accuracy,0.8081330868761553
413,LogReg,test_accuracy,0.8081330868761553
584,LogReg,test_precision_weighted,0.8085252484200542
593,LogReg,test_precision_weighted,0.8085252484200542
590,LogReg,test_precision_weighted,0.8085252484200542
576,LogReg,test_precision_weighted,0.8085252484200542
578,LogReg,test_precision_weighted,0.8085252484200542
579,LogReg,test_precision_weighted,0.8085252484200542
406,LogReg,test_accuracy,0.8092421441774492
753,LogReg,test_recall_weighted,0.8092421441774492
412,LogReg,test_accuracy,0.8092421441774492
414,LogReg,test_accuracy,0.8092421441774492
416,LogReg,test_accuracy,0.8092421441774492
776,LogReg,test_recall_weighted,0.8092421441774492
393,LogReg,test_accuracy,0.8092421441774492
754,LogReg,test_recall_weighted,0.8092421441774492
394,LogReg,test_accuracy,0.8092421441774492
766,LogReg,test_recall_weighted,0.8092421441774492
774,LogReg,test_recall_weighted,0.8092421441774492
772,LogReg,test_recall_weighted,0.8092421441774492
954,LogReg,test_f1_weighted,0.8092669641899168
956,LogReg,test_f1_weighted,0.8092669641899168
933,LogReg,test_f1_weighted,0.8092669641899168
946,LogReg,test_f1_weighted,0.8092669641899168
952,LogReg,test_f1_weighted,0.8092669641899168
934,LogReg,test_f1_weighted,0.8092669641899168
573,LogReg,test_precision_weighted,0.8099856021382086
594,LogReg,test_precision_weighted,0.8099856021382086
596,LogReg,test_precision_weighted,0.8099856021382086
574,LogReg,test_precision_weighted,0.8099856021382086
592,LogReg,test_precision_weighted,0.8099856021382086
586,LogReg,test_precision_weighted,0.8099856021382086
924,GNB,test_f1_weighted,0.816959025246766
913,GNB,test_f1_weighted,0.816959025246766
925,GNB,test_f1_weighted,0.816959025246766
929,GNB,test_f1_weighted,0.816959025246766
910,GNB,test_f1_weighted,0.816959025246766
903,GNB,test_f1_weighted,0.816959025246766
907,GNB,test_f1_weighted,0.816959025246766
723,GNB,test_recall_weighted,0.8170055452865065
367,GNB,test_accuracy,0.8170055452865065
363,GNB,test_accuracy,0.8170055452865065
389,GNB,test_accuracy,0.8170055452865065
749,GNB,test_recall_weighted,0.8170055452865065
373,GNB,test_accuracy,0.8170055452865065
730,GNB,test_recall_weighted,0.8170055452865065
733,GNB,test_recall_weighted,0.8170055452865065
384,GNB,test_accuracy,0.8170055452865065
385,GNB,test_accuracy,0.8170055452865065
744,GNB,test_recall_weighted,0.8170055452865065
745,GNB,test_recall_weighted,0.8170055452865065
370,GNB,test_accuracy,0.8170055452865065
727,GNB,test_recall_weighted,0.8170055452865065
565,GNB,test_precision_weighted,0.8188471870020805
569,GNB,test_precision_weighted,0.8188471870020805
564,GNB,test_precision_weighted,0.8188471870020805
553,GNB,test_precision_weighted,0.8188471870020805
550,GNB,test_precision_weighted,0.8188471870020805
547,GNB,test_precision_weighted,0.8188471870020805
543,GNB,test_precision_weighted,0.8188471870020805
901,GNB,test_f1_weighted,0.819377550112521
918,GNB,test_f1_weighted,0.819377550112521
915,GNB,test_f1_weighted,0.819377550112521
904,GNB,test_f1_weighted,0.819377550112521
926,GNB,test_f1_weighted,0.819377550112521
909,GNB,test_f1_weighted,0.819377550112521
905,GNB,test_f1_weighted,0.819377550112521
721,GNB,test_recall_weighted,0.8195933456561922
738,GNB,test_recall_weighted,0.8195933456561922
746,GNB,test_recall_weighted,0.8195933456561922
378,GNB,test_accuracy,0.8195933456561922
375,GNB,test_accuracy,0.8195933456561922
729,GNB,test_recall_weighted,0.8195933456561922
369,GNB,test_accuracy,0.8195933456561922
725,GNB,test_recall_weighted,0.8195933456561922
724,GNB,test_recall_weighted,0.8195933456561922
365,GNB,test_accuracy,0.8195933456561922
364,GNB,test_accuracy,0.8195933456561922
361,GNB,test_accuracy,0.8195933456561922
386,GNB,test_accuracy,0.8195933456561922
735,GNB,test_recall_weighted,0.8195933456561922
937,LogReg,test_f1_weighted,0.819962539317927
959,LogReg,test_f1_weighted,0.819962539317927
958,LogReg,test_f1_weighted,0.819962539317927
957,LogReg,test_f1_weighted,0.819962539317927
955,LogReg,test_f1_weighted,0.819962539317927
935,LogReg,test_f1_weighted,0.819962539317927
949,LogReg,test_f1_weighted,0.819962539317927
947,LogReg,test_f1_weighted,0.819962539317927
945,LogReg,test_f1_weighted,0.819962539317927
943,LogReg,test_f1_weighted,0.819962539317927
778,LogReg,test_recall_weighted,0.8199630314232902
418,LogReg,test_accuracy,0.8199630314232902
775,LogReg,test_recall_weighted,0.8199630314232902
755,LogReg,test_recall_weighted,0.8199630314232902
417,LogReg,test_accuracy,0.8199630314232902
415,LogReg,test_accuracy,0.8199630314232902
769,LogReg,test_recall_weighted,0.8199630314232902
757,LogReg,test_recall_weighted,0.8199630314232902
409,LogReg,test_accuracy,0.8199630314232902
765,LogReg,test_recall_weighted,0.8199630314232902
395,LogReg,test_accuracy,0.8199630314232902
407,LogReg,test_accuracy,0.8199630314232902
405,LogReg,test_accuracy,0.8199630314232902
763,LogReg,test_recall_weighted,0.8199630314232902
403,LogReg,test_accuracy,0.8199630314232902
777,LogReg,test_recall_weighted,0.8199630314232902
767,LogReg,test_recall_weighted,0.8199630314232902
397,LogReg,test_accuracy,0.8199630314232902
419,LogReg,test_accuracy,0.8199630314232902
779,LogReg,test_recall_weighted,0.8199630314232902
577,LogReg,test_precision_weighted,0.8199676503834501
575,LogReg,test_precision_weighted,0.8199676503834501
583,LogReg,test_precision_weighted,0.8199676503834501
598,LogReg,test_precision_weighted,0.8199676503834501
585,LogReg,test_precision_weighted,0.8199676503834501
587,LogReg,test_precision_weighted,0.8199676503834501
589,LogReg,test_precision_weighted,0.8199676503834501
597,LogReg,test_precision_weighted,0.8199676503834501
599,LogReg,test_precision_weighted,0.8199676503834501
595,LogReg,test_precision_weighted,0.8199676503834501
541,GNB,test_precision_weighted,0.8211491732493732
544,GNB,test_precision_weighted,0.8211491732493732
545,GNB,test_precision_weighted,0.8211491732493732
549,GNB,test_precision_weighted,0.8211491732493732
